@arlencezar;luciano cartaxo;Sat Sep 08 12:34:24 GMT-03:00 2012;
@maispb;Luciano Cartaxo;Sat Sep 08 13:03:46 GMT-03:00 2012;
@oRAPAquerVoltar;Luciano Cartaxo;Sat Sep 08 13:05:28 GMT-03:00 2012;
@RJuniorPb;Luciano Cartaxo;Sat Sep 08 13:11:14 GMT-03:00 2012;
@CeissaMed;Luciano Cartaxo;Sat Sep 08 13:13:14 GMT-03:00 2012;
@JulianaFreiire_;luciano cartaxo;Sat Sep 08 13:17:11 GMT-03:00 2012;
@NaCamacomLeon;luciano_cartaxo;Sat Sep 08 13:23:41 GMT-03:00 2012;
@JulianaFreiire_;luciano cartaxo;Sat Sep 08 13:24:43 GMT-03:00 2012;
@reporter_13;luciano_cartaxo;Sat Sep 08 13:40:19 GMT-03:00 2012;
@reporter_13;luciano_cartaxo;Sat Sep 08 13:43:10 GMT-03:00 2012;
@gregoryabreu;Sat Sep 08 13:47:33 GMT-03:00 2012;
@luizinacio1;Sat Sep 08 13:51:04 GMT-03:00 2012;
@Apsm_PTPb;luciano_cartaxo;Sat Sep 08 13:55:27 GMT-03:00 2012;
@Apsm_PTPb;luciano_cartaxo;Sat Sep 08 13:55:35 GMT-03:00 2012;
@edmilsonpereira;Zé Maranhão;Sat Sep 08 14:44:42 GMT-03:00 2012;
@Paraiba_Noticia;Zé Maranhão;Sat Sep 08 14:44:43 GMT-03:00 2012;
@nina_ramalho;Zé Maranhão;Sat Sep 08 14:45:39 GMT-03:00 2012;
@CristianoSitoni;zemaranhaojp;Sat Sep 08 14:52:24 GMT-03:00 2012;
@zemaranhaojp;zemaranhaojp;Sat Sep 08 14:53:10 GMT-03:00 2012;
@informe40;#Estela40;Sat Sep 08 14:53:40 GMT-03:00 2012;
@mventurafatima;#Estela40;Sat Sep 08 14:54:48 GMT-03:00 2012;
@Adautojr12;Luciano_Cartaxo;Sat Sep 08 14:55:29 GMT-03:00 2012;
@AugustaMariz;zemaranhaojp;Sat Sep 08 14:55:38 GMT-03:00 2012;
@mventurafatima;Luciano Cartaxo;Sat Sep 08 15:03:00 GMT-03:00 2012;
@mventurafatima;Luciano Cartaxo;Sat Sep 08 15:03:24 GMT-03:00 2012;
@robertdore;Estelizabel;Sat Sep 08 15:08:07 GMT-03:00 2012;
@ADVOGRICARDO;Estelizabel;Sat Sep 08 15:09:16 GMT-03:00 2012;
@tonilucenacg;Estelizabel;Sat Sep 08 15:10:17 GMT-03:00 2012;
@lidialbu;#Estela40;Sat Sep 08 15:13:13 GMT-03:00 2012;
@informe40;#Estela40;Sat Sep 08 15:22:39 GMT-03:00 2012;
@delucca;#Estela40;Sat Sep 08 15:22:46 GMT-03:00 2012;
@laylson;#Estela40;Sat Sep 08 15:22:52 GMT-03:00 2012;
@ClaGuerreiro;#Estela40;Sat Sep 08 15:26:37 GMT-03:00 2012;
@CulturaTec;#Estela40;Sat Sep 08 15:28:10 GMT-03:00 2012;
@lidialbu;#Estela40;Sat Sep 08 15:28:14 GMT-03:00 2012;
@gustavograminho;#Vote13;Sat Sep 08 15:31:50 GMT-03:00 2012;
@TadeuNevesPB;Luciano_Cartaxo;Sat Sep 08 15:32:06 GMT-03:00 2012;
@lalamazetto;zé maranhão;Sat Sep 08 15:41:33 GMT-03:00 2012;
