@villelaamanda;Djanilson Faca Cega;1347581719000;NULL;
@HellenRibeiro19;facacegapb;1347588020000;NULL;
@_JoaoPaulo5;facacegapb;1347588046000;NULL;
@AninhaLu1000;facacegapb;1347588091000;NULL;
@dricaunhas;facacegapb;1347588315000;NULL;
@facacegapb;facacegapb;1347588767000;NULL;
@AninhaLu1000;facacegapb;1347588812000;NULL;
@VauRodrigues_JP;facacegapb;1347589061000;NULL;
@AninhaLu1000;facacegapb;1347589234000;NULL;
@facacegapb;facacegapb;1347589287000;NULL;
@VauRodrigues_JP;facacegapb;1347589493000;NULL;
@facacegapb;facacegapb;1347589545000;NULL;
@AninhaLu1000;facacegapb;1347589624000;NULL;
@RODRIGOPEGADOR_;facacegapb;1347589771000;GeoLocation{latitude=-7.1015595, longitude=-34.8467652};
@facacegapb;facacegapb;1347589855000;NULL;
@VauRodrigues_JP;facacegapb;1347589984000;NULL;
@RODRIGOPEGADOR_;facacegapb;1347590384000;GeoLocation{latitude=-7.1015595, longitude=-34.8467652};
@facacegapb;facacegapb;1347590614000;NULL;
@GlicelySione;facacegapb;1347597884000;NULL;
@VauRodrigues_JP;facacegapb;1347620076000;NULL;
@Heleno_Mota;facacegapb;1347627038000;NULL;
@marketing_106;facacegapb;1347627210000;NULL;
@Forca_Tatica_PM;facacegapb;1347629160000;GeoLocation{latitude=-7.110192, longitude=-34.8524596};
@Forca_Tatica_PM;facacegapb;1347629434000;GeoLocation{latitude=-7.110192, longitude=-34.8524596};
@Forca_Tatica_PM;facacegapb;1347629481000;GeoLocation{latitude=-7.110192, longitude=-34.8524596};
@Forca_Tatica_PM;facacegapb;1347629804000;GeoLocation{latitude=-7.110192, longitude=-34.8524596};
@Forca_Tatica_PM;facacegapb;1347630142000;GeoLocation{latitude=-7.1111843, longitude=-34.8520884};
@Forca_Tatica_PM;facacegapb;1347630287000;GeoLocation{latitude=-7.110192, longitude=-34.8524596};
@Forca_Tatica_PM;facacegapb;1347630417000;GeoLocation{latitude=-7.110192, longitude=-34.8524596};
@Forca_Tatica_PM;facacegapb;1347630649000;GeoLocation{latitude=-7.110192, longitude=-34.8524596};
@Forca_Tatica_PM;facacegapb;1347630750000;GeoLocation{latitude=-7.110192, longitude=-34.8524596};
@ailtonservo;facacegapb;1347631475000;NULL;
@_piinto;facacegapb;1347631538000;NULL;
@_piinto;facacegapb;1347631549000;NULL;
@Xerxes_Gouveia;facacegapb;1347631778000;NULL;
@anaprsousa;facacegapb;1347633190000;NULL;
